flow_id,pattern,offset,timestamp,context
192.168.110.10:1154-212.144.254.123:3128,HTTP,29,1757016315.1258442,2f2f69702e77656265726e65747a2e6e65742f20485454502f312e310d0a486f73743a2069702e7765626572
192.168.110.10:1154-212.144.254.123:3128,GET,0,1757016315.1258533,47455420687474703a2f2f69702e77656265726e65747a
192.168.110.10:1154-212.144.254.123:3128,HTTP,29,1757016315.126033,2f2f69702e77656265726e65747a2e6e65742f20485454502f312e310d0a486f73743a2069702e7765626572
192.168.110.10:1154-212.144.254.123:3128,GET,0,1757016315.1260355,47455420687474703a2f2f69702e77656265726e65747a
192.168.7.1:37185-239.255.255.250:1900,HTTP,11,1757016315.3372715,4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.1:37185-239.255.255.250:1900,HTTP,11,1757016315.3374977,4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.1:37185-239.255.255.250:1900,HTTP,11,1757016315.3376913,4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.1:37185-239.255.255.250:1900,HTTP,11,1757016315.3378685,4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.1:37185-239.255.255.250:1900,HTTP,11,1757016315.3380618,4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.1:45184-192.168.7.12:8080,HTTP,27,1757016315.3389099,4245202f41565472616e73706f72742f65767420485454502f312e310d0a484f53543a203139322e3136382e
192.168.7.1:51598-192.168.7.12:8080,HTTP,32,1757016315.3392458,656e646572696e67436f6e74726f6c2f65767420485454502f312e310d0a484f53543a203139322e3136382e
192.168.7.1:42521-192.168.7.12:8080,HTTP,33,1757016315.3395822,6e6e656374696f6e4d616e616765722f65767420485454502f312e310d0a484f53543a203139322e3136382e
192.168.7.12:8080-192.168.7.1:45184,HTTP,0,1757016315.3397477,485454502f312e3120323030204f4b0d0a434f4e54454e54
192.168.7.12:8080-192.168.7.1:51598,HTTP,0,1757016315.340083,485454502f312e3120323030204f4b0d0a434f4e54454e54
192.168.7.12:8080-192.168.7.1:42521,HTTP,0,1757016315.3404071,485454502f312e3120323030204f4b0d0a434f4e54454e54
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.3407462,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.3409111,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.3410883,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.3412533,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.3414316,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.341605,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.3417711,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.3419352,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.3421092,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.3422728,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.3424485,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.12:5645-239.255.255.250:1900,HTTP,9,1757016315.3426244,4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.26:52347-239.255.255.250:1900,HTTP,11,1757016315.3460784,4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.26:52347-239.255.255.250:1900,HTTP,11,1757016315.3462603,4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e
192.168.7.26:52347-239.255.255.250:1900,HTTP,11,1757016315.3464208,4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e
